,Number of Hosts,Algorithm,Job Number,Job Type,Job Period,Target Server,Job Success Rate
312,4,rr,48,tcp_speed_test,14,10.0.1.1,107.14285714285714
313,4,rr,11,tcp_speed_test,14,10.0.1.1,107.14285714285714
314,4,rr,28,tcp_speed_test,19,10.0.1.1,136.36363636363635
315,4,rr,49,tcp_speed_test,16,10.0.1.1,125.0
316,4,rr,45,tcp_speed_test,15,10.0.1.1,115.38461538461537
317,4,rr,20,tcp_speed_test,13,10.0.1.1,100.0
318,4,rr,4,tcp_speed_test,17,10.0.1.1,125.0
319,4,rr,17,tcp_speed_test,18,10.0.1.1,136.36363636363635
320,4,rr,25,tcp_speed_test,17,10.0.1.1,125.0
321,4,rr,34,tcp_speed_test,11,10.0.1.1,83.33333333333334
322,4,rr,18,tcp_speed_test,13,10.0.1.1,100.0
323,4,rr,40,tcp_speed_test,18,10.0.1.1,136.36363636363635
324,4,rr,15,tcp_speed_test,14,10.0.1.1,107.14285714285714
325,4,rr,3,tcp_speed_test,16,10.0.1.1,115.38461538461537
326,4,rr,36,tcp_speed_test,13,10.0.1.1,100.0
327,4,rr,47,tcp_speed_test,15,10.0.1.1,115.38461538461537
328,4,rr,22,tcp_speed_test,18,10.0.1.1,136.36363636363635
329,4,rr,10,tcp_speed_test,10,10.0.1.1,78.94736842105263
330,4,rr,32,tcp_speed_test,13,10.0.1.1,100.0
331,4,rr,43,tcp_speed_test,19,10.0.1.1,136.36363636363635
332,4,rr,26,tcp_speed_test,18,10.0.1.1,136.36363636363635
333,4,rr,50,tcp_speed_test,11,10.0.1.1,83.33333333333334
334,4,rr,6,tcp_speed_test,15,10.0.1.1,115.38461538461537
335,4,rr,1,tcp_speed_test,11,10.0.1.1,83.33333333333334
336,4,rr,7,tcp_speed_test,13,10.0.1.1,100.0
337,4,rr,8,tcp_speed_test,13,10.0.1.1,100.0
338,4,rr,2,tcp_speed_test,12,10.0.1.1,93.75
339,4,rr,21,tcp_speed_test,10,10.0.1.1,78.94736842105263
340,4,rr,14,tcp_speed_test,14,10.0.1.1,107.14285714285714
341,4,rr,33,tcp_speed_test,11,10.0.1.1,83.33333333333334
342,4,rr,23,tcp_speed_test,19,10.0.1.1,136.36363636363635
343,4,rr,44,tcp_speed_test,12,10.0.1.1,93.75
344,4,rr,31,tcp_speed_test,12,10.0.1.1,93.75
345,4,rr,16,tcp_speed_test,14,10.0.1.1,107.14285714285714
346,4,rr,38,tcp_speed_test,11,10.0.1.1,88.23529411764706
347,4,rr,37,tcp_speed_test,15,10.0.1.1,115.38461538461537
348,4,rr,35,tcp_speed_test,12,10.0.1.1,93.75
349,4,rr,5,tcp_speed_test,14,10.0.1.1,107.14285714285714
350,4,edf,11,tcp_speed_test,14,10.0.1.1,107.14285714285714
351,4,edf,20,tcp_speed_test,13,10.0.1.1,100.0
352,4,edf,6,tcp_speed_test,15,10.0.1.1,115.38461538461537
353,4,edf,17,tcp_speed_test,18,10.0.1.1,136.36363636363635
354,4,edf,22,tcp_speed_test,18,10.0.1.1,136.36363636363635
355,4,edf,25,tcp_speed_test,17,10.0.1.1,125.0
356,4,edf,34,tcp_speed_test,11,10.0.1.1,83.33333333333334
357,4,edf,42,tcp_speed_test,20,10.0.1.1,150.0
358,4,edf,41,tcp_speed_test,18,10.0.1.1,136.36363636363635
359,4,edf,2,tcp_speed_test,12,10.0.1.1,93.75
360,4,edf,30,tcp_speed_test,17,10.0.1.1,125.0
361,4,edf,24,tcp_speed_test,19,10.0.1.1,150.0
362,4,edf,47,tcp_speed_test,15,10.0.1.1,115.38461538461537
363,4,edf,8,tcp_speed_test,13,10.0.1.1,100.0
364,4,edf,32,tcp_speed_test,13,10.0.1.1,100.0
365,4,edf,36,tcp_speed_test,13,10.0.1.1,100.0
366,4,edf,3,tcp_speed_test,16,10.0.1.1,115.38461538461537
367,4,edf,27,tcp_speed_test,20,10.0.1.1,150.0
368,4,edf,48,tcp_speed_test,14,10.0.1.1,107.14285714285714
369,4,edf,46,tcp_speed_test,13,10.0.1.1,100.0
370,4,edf,16,tcp_speed_test,14,10.0.1.1,107.14285714285714
371,4,edf,12,tcp_speed_test,20,10.0.1.1,150.0
372,4,edf,21,tcp_speed_test,10,10.0.1.1,78.94736842105263
373,4,edf,14,tcp_speed_test,14,10.0.1.1,107.14285714285714
374,4,edf,4,tcp_speed_test,17,10.0.1.1,125.0
375,4,edf,37,tcp_speed_test,15,10.0.1.1,115.38461538461537
376,4,edf,33,tcp_speed_test,11,10.0.1.1,83.33333333333334
377,4,edf,19,tcp_speed_test,19,10.0.1.1,136.36363636363635
378,4,edf,28,tcp_speed_test,19,10.0.1.1,136.36363636363635
379,4,edf,31,tcp_speed_test,12,10.0.1.1,93.75
380,4,edf,9,tcp_speed_test,11,10.0.1.1,83.33333333333334
381,4,edf,26,tcp_speed_test,18,10.0.1.1,136.36363636363635
382,4,edf,35,tcp_speed_test,12,10.0.1.1,93.75
383,4,edf,44,tcp_speed_test,12,10.0.1.1,93.75
384,4,edf,45,tcp_speed_test,15,10.0.1.1,115.38461538461537
385,4,edf,49,tcp_speed_test,16,10.0.1.1,125.0
386,4,edf,39,tcp_speed_test,19,10.0.1.1,136.36363636363635
387,4,edf,10,tcp_speed_test,10,10.0.1.1,78.94736842105263
388,4,edf,15,tcp_speed_test,14,10.0.1.1,107.14285714285714
389,4,edf,18,tcp_speed_test,13,10.0.1.1,100.0
390,4,edf,40,tcp_speed_test,18,10.0.1.1,136.36363636363635
391,4,edf,13,tcp_speed_test,15,10.0.1.1,115.38461538461537
392,4,edf,7,tcp_speed_test,13,10.0.1.1,100.0
393,4,edf,50,tcp_speed_test,11,10.0.1.1,83.33333333333334
394,4,edf,38,tcp_speed_test,11,10.0.1.1,88.23529411764706
395,4,edf,29,tcp_speed_test,14,10.0.1.1,107.14285714285714
396,4,edf,43,tcp_speed_test,19,10.0.1.1,136.36363636363635
397,4,edf,23,tcp_speed_test,19,10.0.1.1,136.36363636363635
398,4,edf,5,tcp_speed_test,14,10.0.1.1,107.14285714285714
